title,year,id,type,watched_at
101 Dalmatians,1996,135894,movie,
101 Dalmatians (1961),1961,14624,movie,
101 Dalmatians II: Patch's London Adventure,2003,30288,movie,
102 Dalmatians,2000,135895,movie,
12 Angry Men,1957,140962,movie,
12 Monkeys,1995,5903,movie,
12 Strong,2018,910334,movie,
13,2012,261702,movie,
13 Hours: The Secret Soldiers of Benghazi,2016,735269,movie,
1408,2007,688221,movie,
1776 (Director's Cut),1972,26381,movie,
2 Fast 2 Furious,2003,5889,movie,
2 Movie Bundle Big/Mrs. Doubtfire (Bundle),,1438388,movie,
20 Million Miles to Earth (Original B&W Version),1957,26279,movie,
"20,000 Leagues Under the Sea",1954,31815,movie,
2001: A Space Odyssey,1968,9000,movie,
2012,2009,168059,movie,
21,2008,132326,movie,
211,2018,951935,movie,
24 Hours to Live,2017,903634,movie,
28 Days Later,2003,8637,movie,
28 Weeks Later,2007,129115,movie,
28 Years Later,2025,4351151,movie,
28 Years Later: The Bone Temple,2026,4859311,movie,
300,2007,128174,movie,
3:10 to Yuma,2007,129211,movie,
3:10 to Yuma,1957,25263,movie,
4 Film Favorites: Free Willy 1-4 (Bundle),,427688,movie,
40 Guns to Apache Pass,1967,118833,movie,
42,2013,422219,movie,
42nd Street,1933,9387,movie,
47 Meters Down,2017,864670,movie,
47 Meters Down: Uncaged,2019,1216597,movie,
47 Ronin,2013,497053,movie,
48 HRS.,1982,13487,movie,
50/50,2011,216630,movie,
65,2023,2308288,movie,
711 Ocean Drive,1950,640497,movie,
8 Mile,2002,5770,movie,
8-Bit Christmas,2021,2120767,movie,
80 for Brady,2023,2265788,movie,
976-Evil,1989,27817,movie,
99 River Street,1953,3061569,movie,
A Beautiful Mind,2001,5850,movie,
A Bone to Pick: An Aurora Teagarden Mystery,2016,777152,movie,
A Bridge Too Far,1977,140537,movie,
A Bug's Life,1998,13949,movie,
A Bundle of Trouble: An Aurora Teagarden Mystery,,1617388,movie,
A Christmas Carol,1938,10503,movie,
A Christmas Carol,2009,169632,movie,
A Christmas Story,1983,9894,movie,
A Christmas Story (Bundle),,393459,movie,
A Christmas Story 2,2012,371719,movie,
A Christmas Story Christmas,2022,2215979,movie,
A Clockwork Orange,1972,9482,movie,
A Dry White Season,1989,140702,movie,
A Family Thing,1996,809701,movie,
A Few Good Men,1992,12516,movie,
A Fish Called Wanda,1988,13373,movie,
A Flintstone Christmas Collection,2020,1546825,movie,
A Good Day to Die Hard,2013,412714,movie,
A Goofy Movie,1995,16042,movie,
A History of Violence,2005,58950,movie,
A Hole in the Head,1959,140809,movie,
A Knight's Tale,2001,22692,movie,
A Madea Family Funeral,2019,1074928,movie,
A Man Called Otto,2022,2243225,movie,
A Man for All Seasons,1966,13580,movie,
A Minecraft Movie,2025,4066547,movie,
A Muppets Christmas: Letters to Santa,2008,611976,movie,
A Nightmare on Elm Street,2010,172466,movie,
A Passage to India,1985,20537,movie,
A Place in the Sun,1951,22079,movie,
A Quiet Place,2018,911870,movie,
A Quiet Place Part II,2021,1386665,movie,
A Quiet Place: Day One,2024,3144051,movie,
A Raisin in the Sun,1961,15286,movie,
A River Runs Through It,1992,15418,movie,
A Simple Favor,2018,996684,movie,
A Soldier's Story,1984,14536,movie,
A Star Is Born,2018,996853,movie,
A Star Is Born,1954,9248,movie,
A Streetcar Named Desire,1951,9057,movie,
A Time to Kill,1996,9058,movie,
A View to a Kill,1985,16649,movie,
A Waltons Thanksgiving,2022,2208382,movie,
A.I.: Artificial Intelligence,2001,24946,movie,
Abduction,2011,197970,movie,
About a Boy,2002,5210,movie,
About Last Night,2014,509588,movie,
About Last Night...,1986,13327,movie,
About My Father,2023,2330609,movie,
About Schmidt,2002,33037,movie,
Ace Ventura: Pet Detective,1994,9096,movie,
Ace Ventura: When Nature Calls,1995,220738,movie,
Aces High,1976,111216,movie,
Acts of Violence,2018,915682,movie,
Addams Family Values,1993,15430,movie,
Aeon Flux,2005,59857,movie,
Affair in Trinidad,1952,71097,movie,
Against All Odds,1984,14777,movie,
Air Force One,1997,12597,movie,
Airplane 2: The Sequel,1982,16781,movie,
Airplane!,1980,140045,movie,
Aladdin,2019,1121066,movie,
Aladdin,1992,39835,movie,
Aladdin and the King of Thieves,1996,184941,movie,
Aladdin: The Return of Jafar,1994,64574,movie,
Albert Nobbs,2011,307042,movie,
Alex Cross,2012,382042,movie,
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,608131,movie,
Alfie (1966),1966,140046,movie,
Alfred Hitchcock Collection (Bundle),,629729,movie,
Ali,2001,25548,movie,
Alias Jesse James,1959,140356,movie,
Alice in Wonderland,2010,168068,movie,
Alice in Wonderland,1951,16039,movie,
Alice Through the Looking Glass,2016,747799,movie,
Alien (Theatrical),1979,7680,movie,
Alien 6-Film Collection (Bundle),,882848,movie,
Alien vs. Predator,2004,8676,movie,
Alien3 (Theatrical),1992,7682,movie,
Alien: Covenant,2017,853471,movie,
Alien: Resurrection (Theatrical),1997,7683,movie,
Alien: Romulus,2024,3324620,movie,
Aliens (Theatrical),1986,8874,movie,
Aliens in the Attic,2009,169325,movie,
All the King's Men,2006,66615,movie,
All the King's Men,1949,21504,movie,
All the President's Men,1976,9003,movie,
Almost Famous,2000,20692,movie,
Along Came a Spider,2001,22979,movie,
Along Came Jones,1945,22495,movie,
Along Came Polly,2004,5494,movie,
Alpha and Omega,2010,178729,movie,
Alpha And Omega 2: A Howl-Iday Adventure,2013,470580,movie,
Alpha And Omega 3: The Great Wolf Games,2014,513076,movie,
Alpha and Omega 8 Pack (Bundle),,865180,movie,
Alpha and Omega: Dino Digs,2016,765447,movie,
Alpha and Omega: Family Vacation,2015,678795,movie,
Alpha and Omega: Journey to Bear Kingdom,2017,854812,movie,
Alpha and Omega: The Big Fureeze,2016,816122,movie,
Alpha and Omega: The Legend of the Saw Toothed Cave,2014,575729,movie,
Alvin and the Chipmunks,2007,130824,movie,
Alvin and the Chipmunks: Chipwrecked,2011,207990,movie,
Alvin and The Chipmunks: The Road Chip,2015,737776,movie,
Alvin and the Chipmunks: The Squeakquel,2009,168783,movie,
Ambulance,2022,1953518,movie,
American Beauty,1999,16576,movie,
American Sniper,2015,625212,movie,
American Underdog,2021,1956062,movie,
An American Tail,1986,5424,movie,
An Officer and a Gentleman,1982,17107,movie,
Anaconda,1997,12398,movie,
Anaconda (2025),2025,4731966,movie,
Anaconda 3: Offspring,2008,140466,movie,
Anacondas: The Hunt for the Blood Orchid,2004,44379,movie,
Anacondas: Trail of Blood,2009,144689,movie,
Analyze That,2002,9772,movie,
Anatomy of a Murder,1959,16216,movie,
Anchorman: The Legend of Ron Burgundy,2004,358811,movie,
And Justice for All,1979,19675,movie,
And Soon the Darkness,1971,3318804,movie,
Andrew Lloyd Webber's Phantom of the Opera,2011,293759,movie,
Angel Has Fallen,2019,1233373,movie,
Angels and Demons,2009,162408,movie,
Angels in the Outfield,1994,2724938,movie,
Anger Management,2003,35173,movie,
Anna,2019,1162956,movie,
Annabelle,2014,585507,movie,
Annie,1982,16940,movie,
Annihilation,2018,910382,movie,
Ant-Man,2015,675937,movie,
Ant-Man (plus bonus features),,719500,movie,
Ant-Man and the Wasp,2018,926890,movie,
Ant-Man and the Wasp: Quantumania,2023,2284754,movie,
Antitrust,2001,140370,movie,
Any Last Words?,2011,360804,movie,
Anzio,1968,23885,movie,
Apache Junction,2021,1829687,movie,
Apache Territory,1958,111852,movie,
Apollo 13,1995,5828,movie,
Apollo: Missions to the Moon,2019,1174648,movie,
Aquaman,2018,1021646,movie,
Aquaman and the Lost Kingdom,2023,2881570,movie,
Are We Done Yet?,2007,128306,movie,
Argo,2012,376513,movie,
Argylle,2024,3015296,movie,
Arizona Raiders,1965,71869,movie,
Armageddon,1998,13494,movie,
Armed and Dangerous,1986,29278,movie,
Army of One,2016,803471,movie,
Around the World in 80 Days,2004,43290,movie,
Arrival,2016,826376,movie,
Arsenal,2017,836491,movie,
Arsenic and Old Lace,1944,9367,movie,
Art School Confidential,2006,140373,movie,
Arthur Christmas,2011,185734,movie,
Arthur the King,2024,3020941,movie,
Artists and Models,1955,71966,movie,
As Good as It Gets,1997,12884,movie,
Assassin's Creed,2016,822033,movie,
Assault on Precinct 13,2005,5700,movie,
Astro Boy,2009,168869,movie,
Atlantis: The Lost Empire,2001,24431,movie,
Atomic Blonde,2017,861200,movie,
Attack!,1956,140379,movie,
Audrey Hepburn 7-Movie Collection (Bundle),,1727138,movie,
August Rush,2007,130757,movie,
Aurora Teagarden Mysteries: A Game of Cat and Mouse,2022,2064768,movie,
Aurora Teagarden Mysteries: A Very Foul Play,2022,2064777,movie,
Aurora Teagarden Mysteries: An Inheritance to Die For,2022,2064786,movie,
Aurora Teagarden Mysteries: Last Scene Alive,2022,2064789,movie,
Aurora Teagarden Mysteries: Reap What You Sew,2022,2064798,movie,
Aurora Teagarden Mysteries: Something New,2023,4708204,movie,
Aurora Teagarden Mysteries: The Disappearing Game,2022,2064804,movie,
Austin Powers in Goldmember,2002,29637,movie,
Austin Powers: International Man of Mystery,1997,12622,movie,
Austin Powers: The Spy Who Shagged Me,1999,14665,movie,
Avalon,1990,20638,movie,
Avanti!,1972,140386,movie,
Avatar,2009,168778,movie,
Avatar: Fire and Ash,2025,4729491,movie,
Avatar: The Way of Water,2022,2230415,movie,
Avengers: Age of Ultron,2015,655422,movie,
Avengers: Endgame,2019,1100922,movie,
Avengers: Infinity War,2018,914764,movie,
Average Joe,2024,3625085,movie,
Baby Boom,1987,140392,movie,
Back to the Future,1985,72268,movie,
Back to the Future Part II,1989,72269,movie,
Back to the Future Part III,1990,72270,movie,
Backtrack,1991,7203,movie,
Bad Boys,1995,12400,movie,
Bad Boys For Life,2020,1339421,movie,
Bad Boys II,2003,36832,movie,
Bad Boys: Ride or Die,2024,3144016,movie,
Bad Moms,2016,777492,movie,
Bah Humduck! A Looney Tunes Christmas Original Movie,2006,10870,movie,
Bait,2012,357515,movie,
Ballerina: From The World Of John Wick,2025,4242228,movie,
Bambi (Signature Collection),1942,864146,movie,
Bambi II,2006,864149,movie,
Bandits,2001,889075,movie,
Bangkok Dangerous,2008,142422,movie,
Barb & Star Go to Vista Del Mar,2021,1638228,movie,
Barbarella,1968,14186,movie,
Barbie,2023,2446735,movie,
Barefoot in the Park,1967,14464,movie,
Barnyard,2006,66117,movie,
Batman,1989,9004,movie,
Batman and Robin,1997,10506,movie,
Batman Begins,2005,10681,movie,
Batman Collection (Bundle),,440057,movie,
Batman Forever,1995,9005,movie,
Batman Returns,1992,9007,movie,
Batman v Superman: Dawn of Justice (Extended Cut),2016,758431,movie,
Batman v Superman: Dawn of Justice (Theatrical),2016,743215,movie,
Batman v Superman: Dawn of Justice - The Ultimate Edition (plus bonus features),,758439,movie,
Batman Vs. Teenage Mutant Ninja Turtles,2019,1089262,movie,
Batman: The Movie,1966,7841,movie,
Battle of the Coral Sea,1959,112414,movie,
Battle: Los Angeles,2011,184947,movie,
Battleship,2012,214476,movie,
Battlestar Galactica: Blood and Chrome (Unrated),2012,401098,movie,
Beast,2022,2101626,movie,
Beauty and the Beast (2017),2017,839724,movie,
Beauty and the Beast (Walt Disney Signature Edition),1991,803840,movie,
Beauty and the Beast: The Enchanted Christmas (Special Edition),1997,13318,movie,
Bedknobs and Broomsticks,1971,19676,movie,
Bedtime Stories,2008,143363,movie,
Bee Movie,2007,221023,movie,
Beethoven,1992,4746,movie,
Beethoven's 2nd,1993,4821,movie,
Beethoven's 3rd,1999,5031,movie,
Beethoven's 4th,2001,5129,movie,
Beethoven's 5th,2003,5405,movie,
Beethoven's Christmas Adventure,2011,230032,movie,
Beetlejuice,1988,9008,movie,
Beetlejuice Beetlejuice,2024,3324624,movie,
Before Sunrise,1995,9262,movie,
Behind Enemy Lines,2001,7932,movie,
"Bell, Book and Candle",1958,3034175,movie,
Ben-Hur,1959,136271,movie,
Ben-Hur (2016),2016,777602,movie,
Benji: The Hunted,1987,56199,movie,
Benny and Joon,1993,140426,movie,
Best in Show,2000,9476,movie,
Best of the Best,1989,42901,movie,
Best of the Best 3: No Turning Back,1995,2727638,movie,
Best Of The Best 4: Without Warning,1998,2727641,movie,
Better Man,2025,3885972,movie,
Better Off Dead,1985,2130771,movie,
Between Worlds,2018,997884,movie,
Beverly Hills Chihuahua,2008,142689,movie,
Beverly Hills Cop,1984,140053,movie,
Beverly Hills Cop II,1987,24546,movie,
Beverly Hills Cop III,1994,140055,movie,
Beverly Hills Cop Trilogy (Bundle),,403022,movie,
Beverly Hills Ninja,1997,14691,movie,
Bewitched,2005,55280,movie,
Big,1988,8059,movie,
Big Eyes,2014,629657,movie,
Big George Foreman,2023,2355802,movie,
Big Hero 6,2015,607384,movie,
Bill & Ted Face the Music,2020,1493537,movie,
Bill and Ted's Bogus Journey,1991,709710,movie,
Bill and Ted's Excellent Adventure,1989,709714,movie,
Bill and Ted's Excellent Double Feature (Bundle),,834198,movie,
Billy Madison,1995,5801,movie,
Bingo,1991,34656,movie,
Bio-Dome,1996,25062,movie,
Birdman of Alcatraz,1962,140434,movie,
Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,2020,1356758,movie,
Black Adam,2022,2156448,movie,
Black Beauty,1971,42678,movie,
Black Hawk Down,2002,129544,movie,
Black Panther,2018,876950,movie,
Black Panther: Wakanda Forever,2022,2193225,movie,
Black Phone 2,2025,4612186,movie,
Black Sheep,1996,26566,movie,
Black Widow,2021,1843890,movie,
Blackbeard's Ghost,1968,26158,movie,
Blade Runner,1982,10873,movie,
Blade Runner 2049,2017,868763,movie,
Blade Runner: The Final Cut,2007,129093,movie,
Blades of Glory,2007,128865,movie,
Blankman,1994,24323,movie,
Blazing Saddles,1974,9069,movie,
Blended,2014,536495,movie,
Blind Date,1987,24555,movie,
Blood and Bone,2009,162410,movie,
Blood Father,2016,781794,movie,
Bloodsport,1988,9685,movie,
Blue Beetle,2023,2572850,movie,
Blue Collar Comedy Tour Rides Again,2004,44263,movie,
Blue Hawaii,1961,140059,movie,
Blue Steel,1990,2594963,movie,
Blue Thunder,1983,13169,movie,
"Blue Water, White Death",1971,299371,movie,
Bob and Carol and Ted and Alice,1969,43740,movie,
Body Double,1984,13319,movie,
Body of Lies,2008,142818,movie,
Boeing Boeing,1965,73650,movie,
Bolt,2008,142992,movie,
Bombshell,2019,1281713,movie,
Bonnie and Clyde,1967,9012,movie,
Boogie Nights,1997,12796,movie,
Book Club,2018,935644,movie,
Booty Call,1997,141337,movie,
Borderlands,2024,3324616,movie,
Born Free,1966,31487,movie,
Born Yesterday,1950,13754,movie,
Brave,2012,218766,movie,
Braveheart,1995,16337,movie,
Breakdown,1997,13475,movie,
Breakfast at Tiffany's,1961,14463,movie,
Brian's Song,1971,16531,movie,
Bridge to Terabithia,2007,130828,movie,
Bringing Out the Dead,1999,15846,movie,
Broken Arrow,1996,7649,movie,
Bros,2022,2128608,movie,
Brother Bear,2003,38606,movie,
Brother Bear 2,2006,62925,movie,
Bruce Almighty,2003,5372,movie,
Bruce Willis (6-Film Bundle),,613927,movie,
Buck and the Preacher,1972,15241,movie,
Buddy,1997,20017,movie,
Buddy Games,2020,1521203,movie,
Buddy Games: Spring Awakening,2023,2360939,movie,
Bug,2007,128762,movie,
Bullet Train,2022,2088381,movie,
Bullitt,1968,9014,movie,
Bumblebee,2018,1009809,movie,
Bunny Lake Is Missing,1965,45273,movie,
Buried,2010,178734,movie,
But I'm a Cheerleader,2000,6562,movie,
Butterflies Are Free,1972,25362,movie,
