title,year,id,type,season
12 Monkeys: Season 1,2014,623083,show,1
9/11: One Day in America: Season 1,2021,1845112,show,1
According To Jim: Season 1,2001,320602,show,1
Adventures of Superman: Season 1,,136216,show,1
ALF: Season 1,1986,4022931,show,1
Alfred Hitchcock Presents: Season 1,1955,2713810,show,1
Alice: Season 1,1976,138855,show,1
Batman: Season 1,1966,614656,show,1
Bewitched: Season 1,1964,4008936,show,1
Blue Collar TV: Season 1,2004,2624158,show,1
Breaking Bad: Season 1,2008,207559,show,1
Bugs Bunny 80th Anniversary Collection: Season 1,1940,1588344,show,1
Cheers: Season 1,1982,255833,show,1
CHiPs: Season 1,1977,135380,show,1
Criminal Minds: Season 1,2005,242487,show,1
CSI: Crime Scene Investigation: Season 1,2000,238284,show,1
CSI: NY: Season 1,2004,238235,show,1
CSI: Vegas: Season 1,2021,1899110,show,1
DAN DA DAN (English Language Version): Season 1,2024,3969719,show,1
Declassified: Season 1,,1151756,show,1
Dinosaurs: Season 1,1991,419503,show,1
Doctor Who: Season 1,,202556,show,1
Drunk History: Season 1,2013,458263,show,1
Duck Dodgers: Season 1,2003,1501947,show,1
Duck Dynasty: Season 1,2012,306755,show,1
Family Matters: Season 1,1989,225987,show,1
Family Ties: Season 1,1982,363471,show,1
Finding Jesus: Season 1,,1087475,show,1
Fraggle Rock: Season 1,1983,396592,show,1
Frasier: Season 1,1993,517858,show,1
Friends: Season 1,1994,135587,show,1
Full House: Season 1,1988,276920,show,1
Get Smart: Season 1,1965,1092701,show,1
Gilligan's Island: The Complete First Season,1964,592265,show,1
"Good Morning, Miss Bliss: Season 1",1988,499418,show,1
Growing Pains: Season 1,1985,236201,show,1
He-Man and the Masters of the Universe: Season 1,1983,595624,show,1
History of the Sitcom: Season 1,2021,2306707,show,1
Home Improvement: Season 1,1991,550047,show,1
I Dream of Jeannie: Season 1,1965,139183,show,1
I Love Lucy: Season 1,1951,4215017,show,1
Inspector Gadget: Season 1,,211946,show,1
Kaiju No. 8: Season 1,,3285994,show,1
Knight Rider [2008]: Season 1,2008,297767,show,1
Knight Rider: Classic: Season 1,,298211,show,1
Land of the Lost: Season 1,,2858960,show,1
Last Man Standing: Season 1,2011,425100,show,1
Leave It to Beaver: Season 1,1957,4743774,show,1
Little House on the Prairie: Season 1,1974,527037,show,1
Long Lost Family: Season 1,,755660,show,1
Looney Tunes Cartoons: Season 1,2020,2025343,show,1
Lost in Space: Season 1,1965,129704,show,1
Mama's Family: Season 1,1983,1113585,show,1
Mission Impossible: Season 1,1966,522077,show,1
Modern Family: Season 1,2009,183127,show,1
"Murder, She Wrote: Season 1",1984,3644141,show,1
My Wife and Kids: Season 1,2001,342670,show,1
North and South: Season 1,1985,1154708,show,1
Ozzy and Jack's World Detour: Season 1,2016,788170,show,1
Parks and Recreation: Season 1,2009,215759,show,1
Pink Panther Show: Season 1,,818558,show,1
Saved By The Bell: Season 1,1989,499446,show,1
Schoolhouse Rock: Season 1,,333329,show,1
"Scooby-Doo, Where Are You!: Season 1",1969,266353,show,1
Scorpion: Season 1,2014,578542,show,1
Scrubs: Season 1,2001,333214,show,1
Silicon Valley: Season 1,2014,561420,show,1
Spaceballs: The Animated Series: Season 1,2008,3205857,show,1
Step by Step: Season 1,1991,3214475,show,1
The 2000s: Season 1,2018,2187998,show,1
The 2010s: Season 1,2023,2400139,show,1
The A-Team: Season 1,1983,298469,show,1
The Addams Family Kooky Collection: Volume 1,1964,1091269,show,1
The Andy Griffith Show: Season 1,1960,519972,show,1
The Big Bang Theory: Season 1,,133104,show,1
The Chosen: Season 1,,2777813,show,1
The Dick Van Dyke Show: Season 1,1961,1809469,show,1
