"Title","Movie Release Year","Running Time","IMDb Rating","Genre","Format","Is TV Series","Release Year","Seen It","Front Cover"
"3:10 to Yuma","2007","122 mins","7.6","Action; Crime; Drama; Western","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\310toYuma200793204_f.jpg"
"3:10 to Yuma","1957","92 mins","7.6","Drama; Thriller; Western","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\310toYuma195781869_f.jpg"
"3-2-1 Penguins!: The Doom Funnel Rescue","2003","34 mins","0","Animation; Family","DVD","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\321PenguinsTheDoomFunn78715_f.jpg"
"The 5,000 Fingers of Dr. T.","1953","89 mins","6.7","Family; Fantasy; Music; Romance","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\The5000FingersofDrT181855_f.jpg"
"The 5th Wave","2016","112 mins","5.2","Action; Adventure; Science Fiction; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\The5thWave201687250_f.png"
"The 6th Day","2000","123 mins","5.9","Action; Mystery; Science Fiction; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\The6thDay200081920_f.jpg"
"The 7th Voyage of Sinbad","1958","88 mins","7.0","Action; Adventure; Family; Fantasy","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\The7thVoyageofSinbad195887073_f.jpg"
"8 Mile","2002","110 mins","7.2","Drama; Music","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\8Mile200287061_f.jpg"
"8-Bit Christmas","2021","98 mins","6.7","Comedy; Family","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\8BitChristmas202181816_f.jpg"
"9/11: One Day In America","2021","295 mins","9.2","Documentary; History","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\911OneDayInAmerica202167275_f.jpg"
"12 Angry Men","1957","96 mins","9.0","Crime; Drama","Vudu","No","2013","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\12AngryMen195784212_f.jpg"
"12 Monkeys","1995","129 mins","8.0","Action; Adventure; Science Fiction","Vudu","No","1998","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\12MonkeysVUDU199584722_f.jpg"
"12 Monkeys: Season 1","2015","562 mins","7.7","Adventure; Drama; Mystery; Science Fiction; Thriller","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\12MonkeysSeason1201587986_f.jpg"
"12 Monkeys: Season 2","2016","555 mins","7.7","Adventure; Drama; Mystery; Science Fiction; Thriller","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\12MonkeysSeason2201688007_f.jpg"
"12 Monkeys: Season 3","2017","432 mins","7.7","Adventure; Drama; Mystery; Science Fiction; Thriller","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\12MonkeysSeason3201788016XYMW_f.jpg"
"12 Monkeys: Season 4","2018","477 mins","7.7","Adventure; Drama; Mystery; Science Fiction; Thriller","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\12MonkeysSeason4201888023I2N6_f.jpg"
"12 Strong","2018","130 mins","6.5","Action; Drama; History; War","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\12Strong201881665_f.jpg"
"13","2010","91 mins","6.0","Crime; Drama; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\13201087789VEAO_f.jpg"
"13 Hours: The Secret Soldiers Of Benghazi","2016","144 mins","7.3","Action; Comedy; Drama; Romance; Thriller; War","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\13HoursTheSecretSoldiers81696_f.jpg"
"The 15:17 to Paris","2018","94 mins","5.3","Biography; Drama; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\The1517toParis201881675_f.jpg"
"20 Million Miles to Earth","1957","82 mins","6.3","Adventure; Family; Fantasy; Horror; Science Fiction; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\20MillionMilestoEarth19581841_f.jpg"
"20,000 Leagues Under The Sea","1954","127 mins","7.2","Adventure; Drama; Family; Fantasy; Science Fiction","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\20000LeaguesUnderTheSea81879_f.jpg"
"21","2008","123 mins","6.8","Crime; Drama; History; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\21200881687_f.jpg"
"24 Hours To Live","2017","93 mins","5.8","Action; Science Fiction; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\24HoursToLive201757289_f.jpg"
"40 Guns to Apache Pass","1967","95 mins","5.8","Adventure; Drama; Romance; Western","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\40GunstoApachePass196744289_f.jpg"
"42","2013","128 mins","7.5","Biography; Drama; Sports","Vudu","No","2013","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\42VUDU201384798_f.jpg"
"42nd Street","1933","89 mins","7.3","Comedy; Musical; Romance","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\42ndStreet1933926_f.jpg"
"47 Ronin","2013","128 mins","6.2","Action; Drama; Fantasy","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\47Ronin201360791_f.jpg"
"48 Hrs.","1982","96 mins","6.9","Action; Comedy; Crime; Drama; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\48Hrs198263438_f.jpg"
"50/50","2011","100 mins","7.6","Comedy; Drama; Romance","Vudu","No","2012","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\5050201181886_f.jpg"
"65","2023","93 mins","5.4","Action; Adventure; Drama; Science Fiction; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\65202381707_f.jpg"
"80 for Brady","2023","98 mins","5.9","Comedy; Drama; Sports","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\80forBrady202384178_f.jpg"
"99 River Street","1953","83 mins","7.4","Action; Crime; Drama; Film Noir; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\99RiverStreet195312698_f.jpg"
"101 Dalmatians","1961","79 mins","7.3","Animation; Comedy; Family","Vudu","No","2008","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\101Dalmatians196187185_f.jpg"
"101 Dalmatians (Live Action)","1996","103 mins","5.8","Adventure; Comedy; Family","Vudu","No","1997","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\101DalmatiansLiveAction81411_f.jpg"
"101 Dalmatians 2: Patch's London Adventure","2002","74 mins","5.7","Adventure; Animation; Comedy; Family; Musical","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\101Dalmatians2PatchsLond60097_f.jpg"
"102 Dalmatians","2000","100 mins","4.9","Adventure; Comedy; Family","Vudu","No","2001","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\102Dalmatians200078748_f.jpg"
"211","2018","86 mins","4.4","Action; Drama; Horror; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\211201863871_f.jpg"
"300","2006","117 mins","7.6","Action; Drama","Vudu","No","2010","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\300200644392_f.jpg"
"711 Ocean Drive","1950","102 mins","6.8","Action; Crime; Drama; Film Noir; Romance; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\711OceanDrive195044335_f.jpg"
"1001 Classic Commercials","2008","960 mins","6.1","Special Interest","DVD","No","2009","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\1001ClassicCommercials200869633_f.jpg"
"1408","2007","104 mins","6.8","Fantasy; Horror; Mystery","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\1408200790910ZVZY_f.jpg"
"1776","1972","165 mins","7.6","Drama; Family; History; Musical","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\1776197234513_f.jpg"
"2001: A Space Odyssey","1968","149 mins","8.3","Adventure; Science Fiction","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\2001ASpaceOdyssey19688631_f.jpg"
"2012","2009","158 mins","5.8","Action; Adventure; Science Fiction","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\201220099544_f.jpg"
"A.I. Artificial Intelligence","2001","146 mins","7.2","Drama; Science Fiction","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AIArtificialIntelligence34552_f.jpg"
"Abduction","2011","106 mins","5.1","Action; Drama; Mystery; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\Abduction201154262_f.jpg"
"About a Boy","2002","101 mins","7.1","Comedy; Drama; Romance","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AboutaBoy200260497_f.jpg"
"About Last Night","1986","113 mins","6.3","Comedy; Drama; Romance","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AboutLastNight198644046_f.jpg"
"About Last Night","2014","100 mins","6.0","Comedy; Romance","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AboutLastNight201481742_f.jpg"
"About Schmidt","2002","125 mins","7.2","Drama","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AboutSchmidt200291135AXDX_f.jpg"
"The Absent Minded Professor","1961","92 mins","6.7","Comedy; Family; Science Fiction; Sports","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\TheAbsentMindedProfessor181837_f.jpg"
"According To Jim: Season 1","2001","470 mins","6.5","Comedy; Romance","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AccordingToJimSeason12050605_f.jpg"
"According To Jim: Season 2","2001","660 mins","6.5","Comedy; Romance","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AccordingToJimSeason22050627_f.jpg"
"According To Jim: Season 3","2003","624 mins","6.5","Comedy; Romance","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AccordingToJimSeason32050638_f.jpg"
"According To Jim: Season 4","2004","598 mins","6.5","Comedy; Romance","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AccordingToJimSeason42050643_f.jpg"
"According To Jim: Season 5","2005","486 mins","6.5","Comedy; Romance","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AccordingToJimSeason52050651_f.jpg"
"According To Jim: Season 6","2007","396 mins","6.5","Comedy; Romance","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AccordingToJimSeason62050657_f.jpg"
"According To Jim: Season 7","2008","394 mins","6.5","Comedy; Romance","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AccordingToJimSeason72050661_f.jpg"
"According To Jim: Season 8","2008","404 mins","6.5","Comedy; Romance","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AccordingToJimSeason82050665_f.jpg"
"Aces High","1976","114 mins","6.6","Action; Drama; War","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AcesHigh197656847_f.jpg"
"Acts Of Violence","2018","86 mins","5.3","Action; Crime; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\ActsOfViolence201887239_f.jpg"
"The Addams Family","1991","99 mins","7.0","Comedy; Fantasy","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\TheAddamsFamily199184479_f.jpg"
"Addams Family Values","1993","94 mins","6.9","Comedy; Fantasy","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AddamsFamilyValues199384471_f.jpg"
